dataset,alpha,critic_multiplier,weight_decay,num_seeds,seed_values,diverged_count,all_seeds_present,eligible_for_selection,selection_rank,mean_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,mean_final_test_mse,mean_final_vs_best_validation_gap,mean_last_50_val_mse_std,mean_last_50_train_mse_std,mean_runtime_seconds
step,0.5,2.0,0.01,3,0|1|2,0,True,True,14,0.032075497806548045,0.032763299765396534,0.003994297119684658,0.07963193040516915,0.08130876067450266,0.04755643259862111,0.006402809248082039,0.006528162083731062,195.03502186139426
step,0.5,2.0,0.03,3,0|1|2,0,True,True,15,0.032075497806548045,0.032763299765396534,0.003994297119684658,0.07963193040516915,0.08130876067450266,0.04755643259862111,0.006402809248082039,0.006528162083731062,190.49289886156717
step,0.5,2.0,0.1,3,0|1|2,0,True,True,16,0.032075497806548045,0.032763299765396534,0.003994297119684658,0.07963193040516915,0.08130876067450266,0.04755643259862111,0.006402809248082039,0.006528162083731062,196.08687663078308
step,0.5,5.0,0.001,3,0|1|2,0,True,True,9,0.0308012229087716,0.03140992490410754,0.0027031571543408846,0.03237160797836559,0.033047837357642114,0.0015703850695939863,0.0002567402610752269,0.0002869581072757698,191.3468877474467
step,0.5,5.0,0.01,3,0|1|2,0,True,True,10,0.0308012229087716,0.03140992490410754,0.0027031571543408846,0.03237160797836559,0.033047837357642114,0.0015703850695939863,0.0002567402610752269,0.0002869581072757698,196.16394964853922
step,0.5,5.0,0.03,3,0|1|2,0,True,True,11,0.0308012229087716,0.03140992490410754,0.0027031571543408846,0.03237160797836559,0.033047837357642114,0.0015703850695939863,0.0002567402610752269,0.0002869581072757698,192.55936479568481
step,0.5,5.0,0.1,3,0|1|2,0,True,True,12,0.0308012229087716,0.03140992490410754,0.0027031571543408846,0.03237160797836559,0.033047837357642114,0.0015703850695939863,0.0002567402610752269,0.0002869581072757698,193.63143452008566
step,0.5,10.0,0.001,3,0|1|2,0,True,True,5,0.02923679149210066,0.02978609531745534,0.002718530781074436,0.030434834496206157,0.031132505131911417,0.0011980430041055,0.000375021407205216,0.0003923204493472158,191.7052342891693
step,0.5,10.0,0.01,3,0|1|2,0,True,True,6,0.02923679149210066,0.02978609531745534,0.002718530781074436,0.030434834496206157,0.031132505131911417,0.0011980430041055,0.000375021407205216,0.0003923204493472158,193.20302001635233
step,0.5,10.0,0.03,3,0|1|2,0,True,True,7,0.02923679149210066,0.02978609531745534,0.002718530781074436,0.030434834496206157,0.031132505131911417,0.0011980430041055,0.000375021407205216,0.0003923204493472158,190.83450269699097
step,0.5,10.0,0.1,3,0|1|2,0,True,True,8,0.02923679149210066,0.02978609531745534,0.002718530781074436,0.030434834496206157,0.031132505131911417,0.0011980430041055,0.000375021407205216,0.0003923204493472158,189.97357161839804
step,0.5,20.0,0.001,3,0|1|2,0,True,True,1,0.02810324427426296,0.028600822706690954,0.0025740956472578634,0.02850262735521215,0.02902914359673654,0.0003993830809491915,0.0003989071616774295,0.00041268236374214935,193.5645191669464
step,0.5,20.0,0.01,3,0|1|2,0,True,True,2,0.02810324427426296,0.028600822706690954,0.0025740956472578634,0.02850262735521215,0.02902914359673654,0.0003993830809491915,0.0003989071616774295,0.00041268236374214935,192.22222797075906
step,0.5,20.0,0.03,3,0|1|2,0,True,True,3,0.02810324427426296,0.028600822706690954,0.0025740956472578634,0.02850262735521215,0.02902914359673654,0.0003993830809491915,0.0003989071616774295,0.00041268236374214935,191.88333996136984
step,0.5,20.0,0.1,3,0|1|2,0,True,True,4,0.02810324427426296,0.028600822706690954,0.0025740956472578634,0.02850262735521215,0.02902914359673654,0.0003993830809491915,0.0003989071616774295,0.00041268236374214935,193.00903431574503
