run_id,method,dataset,alpha,seed,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p001,fedogda_s,abs,0.5,1,10.0,0.001,0.006828394533845636,0.006969377204524669,439,0.008621925529237691,0.008988455276731188,0.001793530995392055,0.0004995252190258801,0.0005161284325179315,False,197.26872444152832,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p001
tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p01,fedogda_s,abs,0.5,1,10.0,0.01,0.006828394533845636,0.006969377204524669,439,0.008621925529237691,0.008988455276731188,0.001793530995392055,0.0004995252190258801,0.0005161284325179315,False,200.72894287109375,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p01
tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p03,fedogda_s,abs,0.5,1,10.0,0.03,0.006828394533845636,0.006969377204524669,439,0.008621925529237691,0.008988455276731188,0.001793530995392055,0.0004995252190258801,0.0005161284325179315,False,199.37318301200867,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p03
tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p1,fedogda_s,abs,0.5,1,10.0,0.1,0.006828394533845636,0.006969377204524669,439,0.008621925529237691,0.008988455276731188,0.001793530995392055,0.0004995252190258801,0.0005161284325179315,False,195.5962655544281,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm10_wd0p1
tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p001,fedogda_s,abs,0.5,1,20.0,0.001,0.006308323497104798,0.006481770855438129,398,0.008263629058191526,0.00860225948585044,0.0019553055610867284,0.00031265695241444074,0.00032334803878355227,False,197.4257469177246,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p001
tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p01,fedogda_s,abs,0.5,1,20.0,0.01,0.006308323497104798,0.006481770855438129,398,0.008263629058191526,0.00860225948585044,0.0019553055610867284,0.00031265695241444074,0.00032334803878355227,False,190.09932851791382,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p01
tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p03,fedogda_s,abs,0.5,1,20.0,0.03,0.006308323497104798,0.006481770855438129,398,0.008263629058191526,0.00860225948585044,0.0019553055610867284,0.00031265695241444074,0.00032334803878355227,False,189.30704140663147,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p03
tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p1,fedogda_s,abs,0.5,1,20.0,0.1,0.006308323497104798,0.006481770855438129,398,0.008263629058191526,0.00860225948585044,0.0019553055610867284,0.00031265695241444074,0.00032334803878355227,False,196.86505699157715,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p1
tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p001,fedogda_s,abs,0.5,2,2.0,0.001,0.11673173778555725,0.11893546588599702,499,0.11673173778555725,0.11893546588599702,0.0,0.001751159897586615,0.0017197983439398656,False,196.77467727661133,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p001
tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p01,fedogda_s,abs,0.5,2,2.0,0.01,0.11673173778555725,0.11893546588599702,499,0.11673173778555725,0.11893546588599702,0.0,0.001751159897586615,0.0017197983439398656,False,195.53193402290344,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm2_wd0p01
