run_id,source,dataset,method,lr,cm,status,exclusion_category,exclusion_reason,gmm_eval,val_mse,actually_ran_as,run_dir
det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm5,original_screen,cifar10_xz,fedogda_d,0.001,5.0,eligible,,,0.013222817047504802,0.1541619130789023,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedogda_d/seed_0/det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm5
det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p003_cm1,original_screen,cifar10_xz,fedogda_d,0.003,1.0,eligible,,,0.002470401148961036,0.14461022998931636,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedogda_d/seed_0/det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p003_cm1
det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,cifar10_xz,fedogda_d,0.003,5.0,eligible,,,0.014836583782530218,0.14587165489799092,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedogda_d/seed_0/det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p01_cm1,original_screen,cifar10_xz,fedogda_d,0.01,1.0,excluded,original_screen_or_expansion1_exclusion,metrics.last_50_validation_mse_std is not finite: nan,,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedogda_d/seed_0/det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p01_cm1
det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,cifar10_xz,fedogda_d,0.01,5.0,excluded,original_screen_or_expansion1_exclusion,diverged,,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedogda_d/seed_0/det_screen_cifar10_xz_fedogda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_expand_femnist_z_fedgda_d_seed0_alpha0p5_lr0p1_cm1,expansion_1,femnist_z,fedgda_d,0.1,1.0,eligible,,,-0.004537568932835585,0.17775264465971416,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_expand_femnist_z_fedgda_d_seed0_alpha0p5_lr0p1_cm1
det_screen_expand_femnist_z_fedgda_d_seed0_alpha0p5_lr0p1_cm5,expansion_1,femnist_z,fedgda_d,0.1,5.0,excluded,original_screen_or_expansion1_exclusion,"missing artifacts: ['metrics.json', 'mse_by_round.csv', 'predictions.npz', 'checkpoints/best_validation.pt', 'checkpoints/final.pt']",,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_expand_femnist_z_fedgda_d_seed0_alpha0p5_lr0p1_cm5
det_screen_expand_femnist_z_fedogda_d_seed0_alpha0p5_lr0p03_cm1,expansion_1,femnist_z,fedogda_d,0.03,1.0,excluded,original_screen_or_expansion1_exclusion,metrics.final_moment_violation is not finite: nan,,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_expand_femnist_z_fedogda_d_seed0_alpha0p5_lr0p03_cm1
det_screen_expand_femnist_z_fedogda_d_seed0_alpha0p5_lr0p03_cm5,expansion_1,femnist_z,fedogda_d,0.03,5.0,excluded,original_screen_or_expansion1_exclusion,diverged,,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_expand_femnist_z_fedogda_d_seed0_alpha0p5_lr0p03_cm5
det_screen_expand_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p1_cm5,expansion_1,femnist_xz,fedgda_d,0.1,5.0,eligible,,,-0.0004291693661913496,0.09718071547364514,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_expand_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p1_cm5
det_screen_expand_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm10,expansion_1,femnist_xz,fedgda_d,0.03,10.0,eligible,,,-0.0008849408412881791,0.14097102368841083,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_expand_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm10
