dataset,function,alpha,seed,source,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,gap,relative_gap_pct,winner,config_match_status,fedgda_result_dir,fedogda_result_dir
sin,Sine,1.0,1,baseline_sweep,0.08103072747004482,0.08107782502352026,4.709755347544198e-05,0.0581230786714248,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha1p0,results/rerun_protocol_v1/sin/fedogda_d/seed_1/rerun_protocol_v1_sin_fedogda_d_seed1_alpha1p0
sin,Sine,1.0,2,baseline_sweep,0.08722978830393281,0.08739504062255427,0.0001652523186214533,0.1894448236486237,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha1p0,results/rerun_protocol_v1/sin/fedogda_d/seed_2/rerun_protocol_v1_sin_fedogda_d_seed2_alpha1p0
step,Step,0.1,0,baseline_sweep,0.03086680409656931,0.029737169081041237,-0.0011296350155280722,-3.659708377951657,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1
step,Step,0.1,1,baseline_sweep,0.026199452397859823,0.02558361362937985,-0.0006158387684799746,-2.350578779769768,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1
step,Step,0.1,2,baseline_sweep,0.03229769040604756,0.03224387724789442,-5.381315815314314e-05,-0.1666161186035362,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1
step,Step,0.5,0,baseline_sweep,0.030735466788692038,0.02975014439663422,-0.000985322392057817,-3.2058156098033606,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p5,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p5
step,Step,0.5,1,baseline_sweep,0.02619811262844118,0.025570447363979242,-0.0006276652644619379,-2.395841537762275,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p5,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p5
step,Step,0.5,2,baseline_sweep,0.032242884169416,0.03221464618447051,-2.823798494549362e-05,-0.0875789671827149,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p5,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p5
step,Step,1.0,0,baseline_sweep,0.030703307633754083,0.029694188483456414,-0.0010091191502976694,-3.2866789543817134,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha1p0,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha1p0
step,Step,1.0,1,baseline_sweep,0.026134598836368095,0.025550007682638518,-0.0005845911537295766,-2.2368476263583497,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha1p0,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha1p0
step,Step,1.0,2,baseline_sweep,0.03218819372109492,0.03217508500770567,-1.3108713389248239e-05,-0.040725222119740404,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha1p0,results/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha1p0
sin,Sine,1.0,0,tuned_sine_a2_lite,0.09006007294607915,0.08321021932625397,-0.00684985361982518,-7.605871720675077,FedOGDA-D,fully_paired_a2_lite_audited,,
sin,Sine,1.0,1,tuned_sine_a2_lite,0.08103072747004482,0.07464631151131235,-0.006384415958732473,-7.879006098140539,FedOGDA-D,fully_paired_a2_lite_audited,,
sin,Sine,1.0,2,tuned_sine_a2_lite,0.08722978830393281,0.08217807288456339,-0.005051715419369426,-5.791273276702045,FedOGDA-D,fully_paired_a2_lite_audited,,
