run_id,method,dataset,seed,alpha,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
rerun_protocol_v1_linear_fedogda_s_seed0_alpha0p5,fedogda_s,linear,0,0.5,10.0,0.1,0.0007822137267112849,0.0007847149540269521,440,0.0011729623566767182,0.0011582412758197687,0.00039074862996543323,0.0003385257702228108,0.00033590554140741847,False,189.12082052230835,results/rerun_protocol_v1/linear/fedogda_s/seed_0/rerun_protocol_v1_linear_fedogda_s_seed0_alpha0p5
rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p5,fedgda_s,linear,1,0.5,10.0,0.03,0.0005037077502202182,0.0005069194132579995,330,0.016922352747355804,0.01733318059226154,0.016418644997135586,0.010255438018331262,0.010305277760030214,False,182.78899359703064,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p5
rerun_protocol_v1_linear_fedogda_s_seed1_alpha0p5,fedogda_s,linear,1,0.5,10.0,0.1,0.0007639782529321825,0.0007672509647585216,338,0.0020431030487989103,0.0020528830767290703,0.001279124795866728,0.0007516348031774493,0.0007557757333000544,False,194.25671935081482,results/rerun_protocol_v1/linear/fedogda_s/seed_1/rerun_protocol_v1_linear_fedogda_s_seed1_alpha0p5
rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p5,fedgda_s,linear,2,0.5,10.0,0.03,0.0003896788935959265,0.00039595862624269005,343,0.00676868306393913,0.006809634968664257,0.006379004170343204,0.0009609680754200321,0.0009692491012610997,False,180.97529816627502,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p5
rerun_protocol_v1_linear_fedogda_s_seed2_alpha0p5,fedogda_s,linear,2,0.5,10.0,0.1,0.007075657910292095,0.007251052753362265,499,0.0070756579102920925,0.007251052753362265,-2.6020852139652106e-18,0.0022804150137900785,0.0023069708615978306,False,193.30265498161316,results/rerun_protocol_v1/linear/fedogda_s/seed_2/rerun_protocol_v1_linear_fedogda_s_seed2_alpha0p5
rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0,fedgda_s,linear,0,1.0,10.0,0.03,8.541445515506145e-05,8.424079270976279e-05,430,0.004764185533900946,0.00484590422526663,0.004678771078745885,0.002354055041988748,0.0023536404514345943,False,184.82423734664917,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0
rerun_protocol_v1_linear_fedogda_s_seed0_alpha1p0,fedogda_s,linear,0,1.0,10.0,0.1,0.0003851227021513554,0.00038712078798622235,457,0.0016189356159127016,0.0015920706170610695,0.0012338129137613462,0.0004528328799980887,0.0004486187541281537,False,194.588449716568,results/rerun_protocol_v1/linear/fedogda_s/seed_0/rerun_protocol_v1_linear_fedogda_s_seed0_alpha1p0
rerun_protocol_v1_linear_fedgda_s_seed1_alpha1p0,fedgda_s,linear,1,1.0,10.0,0.03,0.000586642290232431,0.0006129201898141918,496,0.0116996506927096,0.011980264239393437,0.01111300840247717,0.011056096693617299,0.01111858908420601,False,177.1493227481842,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha1p0
rerun_protocol_v1_linear_fedogda_s_seed1_alpha1p0,fedogda_s,linear,1,1.0,10.0,0.1,0.0007430554121704244,0.0007490467925889216,337,0.00129183801770664,0.0012842777566505347,0.0005487826055362156,0.0006699605493616786,0.0006711164850725104,False,196.68683385849,results/rerun_protocol_v1/linear/fedogda_s/seed_1/rerun_protocol_v1_linear_fedogda_s_seed1_alpha1p0
rerun_protocol_v1_linear_fedgda_s_seed2_alpha1p0,fedgda_s,linear,2,1.0,10.0,0.03,0.0005648602861198424,0.0005595686814700478,300,0.0051424204614957435,0.005193749711193318,0.004577560175375901,0.0015858144495627718,0.0016137536844962833,False,181.03696966171265,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha1p0
