artifact_id,source_family,dataset,method,method_label,alpha,seed,prediction_key_used,curve_mse,curve_mae,curve_max_abs_error,best_vs_final_max_abs_diff,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,selection_metric_source,test_mse_used_for_selection,included,prediction_path,result_dir
a0022,base_sweep,abs,fedogda_d,FedOGDA-D,0.5,2,best_validation_prediction,0.03377255557952787,0.1516587497072447,0.7445242934615506,0.0,0.03291920524511993,499,0.03377255557952796,0.03377255557952796,,,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5
a0023,base_sweep,abs,fedogda_s,FedOGDA-S,0.5,2,best_validation_prediction,0.032416634674313376,0.14972712406507518,0.6512901927808594,0.0,0.03178155207732554,499,0.03241663467431333,0.03241663467431333,,,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5
a0024,base_sweep,abs,fedgda_d,FedGDA-D,1.0,0,best_validation_prediction,0.009687765602160949,0.0793381885222823,0.39523736211860205,0.0,0.009493161013161739,499,0.00968776560216092,0.00968776560216092,,,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0
a0025,base_sweep,abs,fedgda_s,FedGDA-S,1.0,0,best_validation_prediction,0.0006057864695677794,0.016355397646571828,0.10097263771854814,0.1659214970200491,0.0005863352658592794,488,0.0006057864695677811,0.005223435684973628,,,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0
a0026,base_sweep,abs,fedogda_d,FedOGDA-D,1.0,0,best_validation_prediction,0.008426857583396534,0.07352132942288073,0.3745725780208957,0.0,0.008261736846270643,499,0.008426857583396532,0.008426857583396532,,,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0
a0027,base_sweep,abs,fedogda_s,FedOGDA-S,1.0,0,best_validation_prediction,0.007101696785203961,0.06567072656491002,0.38859537691531587,0.0,0.007003598829362718,499,0.007101696785203967,0.007101696785203967,,,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0
a0028,base_sweep,abs,fedgda_d,FedGDA-D,1.0,1,best_validation_prediction,0.006998573717887232,0.07053780273574208,0.3288946887887638,0.22615817841707297,0.006813603530052323,452,0.0069985737178872316,0.009515526939583439,,,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0
a0029,base_sweep,abs,fedgda_s,FedGDA-S,1.0,1,best_validation_prediction,0.006905123990474558,0.07115594109052133,0.26663166012130635,0.07437369548401573,0.0067637938333682986,406,0.006905123990474533,0.006998887150620184,,,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0
a0030,base_sweep,abs,fedogda_d,FedOGDA-D,1.0,1,best_validation_prediction,0.007064816588672348,0.07092254205167381,0.3291264321998062,0.24502013392552113,0.006879913543146258,447,0.007064816588672376,0.010036402749602586,,,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0
a0031,base_sweep,abs,fedogda_s,FedOGDA-S,1.0,1,best_validation_prediction,0.0067897827381245834,0.06986136745041376,0.27207163685102653,0.357009060064875,0.006638181792948494,450,0.00678978273812457,0.011951736101014205,,,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0
a0032,base_sweep,abs,fedgda_d,FedGDA-D,1.0,2,best_validation_prediction,0.03648782059317671,0.1577191563353857,0.7783179763787267,0.0,0.035563918059069104,499,0.03648782059317654,0.03648782059317654,,,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0
a0033,base_sweep,abs,fedgda_s,FedGDA-S,1.0,2,best_validation_prediction,0.0010968679157301272,0.024555058375963543,0.12961820742973973,0.29738572081386216,0.0010598985846768448,255,0.0010968679157301287,0.005282472171527157,,,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0
a0034,base_sweep,abs,fedogda_d,FedOGDA-D,1.0,2,best_validation_prediction,0.033879868014654854,0.15190256722099663,0.7415992247190664,0.0,0.03303472107134794,499,0.03387986801465489,0.03387986801465489,,,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0
