stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_corr,amp_ratio,diverged,runtime_seconds,result_dir
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p005_slr1p5,0,0.01,10.0,0.005,1.5,500,0.060572924465042526,0.01156755199874077,0.006812791621816354,0.06241637563197808,490,0.06738571608685888,0.06999240154328361,0.062416375631978244,0.19992859393679777,0.6702276006059031,0.7534970646522026,False,153.74150919914246,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm10_lam0p005_slr1p5,0,0.005,10.0,0.005,1.5,500,0.06841680507302808,0.006254980053145308,0.014361507615532496,0.0697819021302813,495,0.08277831268856058,0.08322107628432887,0.06978190213028165,0.214933067637124,0.6052558001763109,0.9473015356314828,False,162.89932513237,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm10_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm7_lam0p005_slr1p5,0,0.0075,7.0,0.005,1.5,500,0.06881386951541849,0.02681761634789098,0.06164516069733794,0.07059018345599474,423,0.13045903021275643,0.13624137483213283,0.07059018345599477,0.22076807617168662,0.5949058168508342,0.8872528568159516,False,157.8051552772522,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm7_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm7_lam0p01_slr1p5,0,0.0075,7.0,0.01,1.5,500,0.06926711856546693,0.0119004730980098,0.011728353784489345,0.07098063590943211,479,0.08099547234995627,0.08290294731997667,0.07098063590943211,0.2144102467527444,0.5972117616920066,1.012954068129596,False,159.07752442359924,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm7_lam0p01_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0125_cm7_lam0p005_slr1p5,0,0.0125,7.0,0.005,1.5,500,0.07169400677141655,0.024024204993150174,0.03130846315457832,0.07289983399706217,483,0.10300246992599486,0.10568195423658681,0.07289983399706239,0.2267355088511563,0.5850458416392647,0.8081308492381767,False,151.45342874526978,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0125_cm7_lam0p005_slr1p5
stage_b_server_lr,fedgda_s,sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr2,0,0.01,7.0,0.01,2.0,500,0.07221371968661373,0.023699950522570956,0.037753420066956506,0.0738663288197811,489,0.10996713975357024,0.11422404589973198,0.07386632881978143,0.2199287419360438,0.5692353283124612,1.0473999702330745,False,159.5177173614502,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr2
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm7_lam0p01_slr1p5,0,0.005,7.0,0.01,1.5,500,0.07409047198924766,0.014369849503204156,0.035286963089835505,0.07613105359541676,480,0.10937743507908317,0.11430963785340006,0.07613105359541612,0.2243453078660297,0.5495704518635864,1.1135940802050655,False,159.17264676094055,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm7_lam0p01_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm7_lam0p005_slr1p5,0,0.005,7.0,0.005,1.5,500,0.07547658326460044,0.016973862928641344,0.00994017837282743,0.07695815047397984,496,0.08541676163742787,0.08647243014495762,0.07695815047397993,0.23851227512649284,0.5535812879681689,0.7781910619491558,False,147.6306722164154,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm7_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p5,0,0.01,7.0,0.005,1.5,500,0.07884722266516545,0.03519285121705928,0.08644100059361357,0.08026761988083296,479,0.165288223258779,0.17049934101943395,0.08026761988083303,0.23947035325363722,0.5095774139759858,0.9718004425562872,False,146.25774240493774,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr1p5,0,0.01,5.0,0.005,1.5,500,0.07889470625122161,0.08040253125153891,0.24097404116110496,0.08076900168920344,491,0.31986874741232657,0.3273250003813312,0.0807690016892031,0.23747785898004223,0.505973310507079,1.0431921698796047,False,149.30155754089355,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p003_cm10_lam0p1_slr1p5,0,0.003,10.0,0.1,1.5,500,0.0792361134606482,0.0013432783185414047,0.00043289778845932714,0.08084465012555463,487,0.07966901124910752,0.0816933093903071,0.08084465012555467,0.24069966030274687,0.5047457753162414,0.9747868844794428,False,150.70602536201477,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p003_cm10_lam0p1_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p75,0,0.01,7.0,0.005,1.75,500,0.08141432384879962,0.04568625867827598,0.11364879465385525,0.08308538320137672,448,0.19506311850265487,0.2021732362446845,0.08308538320137712,0.24993892009826546,0.495471270165819,0.8069406766738572,False,161.54400968551636,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p75
stage_b_server_lr,fedogda_s,sine05_v1_stage_b_server_lr_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr2,0,0.01,5.0,0.005,2.0,500,0.019766985381508333,0.03112837934979714,0.019765359592675384,0.020225246720143857,488,0.03953234497418372,0.04070465453629815,0.020225246720143922,0.11764654193298192,0.9239451659550443,0.8988164061289516,False,157.25285983085632,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_b_server_lr_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr2
stage_b_server_lr,fedogda_s,sine05_v1_stage_b_server_lr_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr1p75,0,0.01,5.0,0.005,1.75,500,0.02715639628557398,0.02449289651074153,0.018673117111342424,0.02778835351631061,488,0.045829513396916405,0.047881398653620566,0.0277883535163107,0.1345917376371348,0.8978834066403069,0.6659114900509916,False,164.41300439834595,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_b_server_lr_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr1p75
stage_a_screen,fedogda_s,sine05_v1_stage_a_screen_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr1p5,0,0.01,5.0,0.005,1.5,500,0.0280907902152125,0.017588824162884032,0.015779923351141537,0.028798871929890727,475,0.04387071356635404,0.04567669491954673,0.028798871929890845,0.12013780349334306,0.8651661242258631,0.6937476815760968,False,158.69545769691467,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_a_screen_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm5_lam0p005_slr1p5
stage_a_screen,fedogda_s,sine05_v1_stage_a_screen_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p5,0,0.01,7.0,0.01,1.5,500,0.02978551011221449,0.012626814943632485,0.017975031607767464,0.030334156145355628,479,0.04776054171998195,0.049650254650844564,0.03033415614535573,0.13709926355024066,0.8970308427048147,0.6144650719921895,False,157.43863248825073,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_a_screen_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p5
stage_a_screen,fedogda_s,sine05_v1_stage_a_screen_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p5,0,0.01,7.0,0.005,1.5,500,0.03046975212000445,0.015407832818007342,0.021067218585489617,0.03077596691786078,492,0.05153697070549407,0.05271377025666246,0.03077596691786092,0.13605850162405855,0.8854227173594204,0.6490443064124131,False,159.10817790031433,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_a_screen_fedogda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p5
