source_family,dataset,function,alpha,seed,fedgda_curve_mse,fedogda_curve_mse,curve_mse_gap_fedogda_minus_fedgda,fedgda_curve_mae,fedogda_curve_mae,curve_mae_gap_fedogda_minus_fedgda,fedgda_curve_max_abs_error,fedogda_curve_max_abs_error,curve_max_abs_gap_fedogda_minus_fedgda,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,test_mse_gap_fedogda_minus_fedgda,winner_by_curve_mse,winner_by_test_mse
base_sweep,linear,Linear,0.1,2,0.010981465111731016,0.007580085655972029,-0.0034013794557589874,0.08550599444801546,0.07245202811378429,-0.01305396633423117,0.5110967037439109,0.3567766480293786,-0.15432005571453233,0.010981465111730988,0.007580085655972026,-0.003401379455758962,FedOGDA-D,FedOGDA-D
base_sweep,linear,Linear,0.5,0,0.0004200587930385307,0.00043632290077208946,1.6264107733558774e-05,0.015799992846185783,0.016154310108141074,0.0003543172619552906,0.11834618807134367,0.1112405732348758,-0.007105614836467877,0.0004200587930385307,0.0004363229007720893,1.626410773355861e-05,FedGDA-D,FedGDA-D
base_sweep,linear,Linear,0.5,1,0.0013492627216256203,0.000774538343547879,-0.0005747243780777413,0.029332691562546098,0.02270295168237939,-0.006629739880166706,0.20008195844378207,0.12763223300705273,-0.07244972543672934,0.0013492627216256184,0.0007745383435478757,-0.0005747243780777427,FedOGDA-D,FedOGDA-D
base_sweep,linear,Linear,0.5,2,0.010929807539069138,0.007310137847492888,-0.00361966969157625,0.08602799036439616,0.07092426618962577,-0.015103724174770392,0.4491386479904478,0.36857516241925037,-0.08056348557119741,0.010929807539069166,0.007310137847492932,-0.0036196696915762336,FedOGDA-D,FedOGDA-D
base_sweep,linear,Linear,1.0,0,0.0004227994945007813,0.0004421956832766735,1.939618877589219e-05,0.01568341032118874,0.01657617853704476,0.0008927682158560192,0.1207001542858317,0.11138226260933859,-0.009317891676493106,0.0004227994945007816,0.00044219568327667194,1.9396188775890348e-05,FedGDA-D,FedGDA-D
base_sweep,linear,Linear,1.0,1,0.001246020230904796,0.0007688399388399181,-0.0004771802920648778,0.026803198923791006,0.02258495696749314,-0.004218241956297865,0.19721702516366624,0.12554070032965758,-0.07167632483400865,0.0012460202309047964,0.000768839938839923,-0.0004771802920648734,FedOGDA-D,FedOGDA-D
base_sweep,linear,Linear,1.0,2,0.010804873823933567,0.007237106288113553,-0.0035677675358200137,0.08561598009951177,0.07056615013362819,-0.015049829965883582,0.4455374414252671,0.36786509444387194,-0.07767234698139514,0.010804873823933555,0.007237106288113536,-0.003567767535820019,FedOGDA-D,FedOGDA-D
base_sweep,sin,Sine,0.1,0,0.09000987619326391,0.08992452977277396,-8.534642048994845e-05,0.24676644272815257,0.24683578515383414,6.934242568157334e-05,0.9846364927516331,0.9839612635478472,-0.000675229203785932,0.09000987619326388,0.08992452977277386,-8.534642049001784e-05,FedOGDA-D,FedOGDA-D
base_sweep,sin,Sine,0.1,1,0.08109314924972025,0.08121494249418368,0.00012179324446343065,0.24047972576685706,0.23797306834968496,-0.002506657417172098,0.8324983209100785,0.8825310152273538,0.050032694317275306,0.08109314924971982,0.08121494249418329,0.00012179324446347228,FedGDA-D,FedGDA-D
base_sweep,sin,Sine,0.1,2,0.08735880488421431,0.08749529188802305,0.00013648700380873569,0.2485453079510286,0.24810166854360682,-0.0004436394074217864,1.0229402634438323,1.0286147701205404,0.005674506676708102,0.087358804884214,0.0874952918880233,0.0001364870038092908,FedGDA-D,FedGDA-D
base_sweep,sin,Sine,0.5,0,0.09016910723082851,0.09017894773973455,9.84050890603938e-06,0.24651525085716874,0.24644025988279356,-7.499097437518865e-05,0.987974292058154,0.9864320082158999,-0.0015422838422540774,0.0901691072308283,0.09017894773973445,9.840508906150403e-06,FedGDA-D,FedGDA-D
base_sweep,sin,Sine,0.5,1,0.08109686035711006,0.08117634386789764,7.948351078758409e-05,0.24022779134760608,0.23792567177635893,-0.002302119571247152,0.8376345134571553,0.8816812737511135,0.044046760293958154,0.0810968603571106,0.0811763438678972,7.948351078659877e-05,FedGDA-D,FedGDA-D
base_sweep,sin,Sine,0.5,2,0.08732246355900612,0.08746319182143955,0.00014072826243342884,0.24845092648590617,0.24795630002487906,-0.0004946264610271034,1.0244466938171153,1.02997875805602,0.0055320642389047325,0.087322463559006,0.0874631918214393,0.00014072826243330394,FedGDA-D,FedGDA-D
base_sweep,sin,Sine,1.0,0,0.09006007294607926,0.0899948868065071,-6.518613957216812e-05,0.2465251484080134,0.24648998056707888,-3.516784093451908e-05,0.9908662804095479,0.9898814575240789,-0.0009848228854690833,0.09006007294607915,0.08999488680650702,-6.518613957212649e-05,FedOGDA-D,FedOGDA-D
base_sweep,sin,Sine,1.0,1,0.08103072747004508,0.08107782502352001,4.70975534749285e-05,0.2405799196158197,0.23843765310623616,-0.002142266509583546,0.8285833755727552,0.8738113014888849,0.045227925916129674,0.08103072747004482,0.08107782502352026,4.709755347544198e-05,FedGDA-D,FedGDA-D
base_sweep,sin,Sine,1.0,2,0.0872297883039324,0.08739504062255382,0.00016525231862142553,0.2482125208982925,0.24770758695866352,-0.0005049339396289709,1.0231960567172493,1.0298722230748256,0.006676166357576285,0.08722978830393281,0.08739504062255427,0.0001652523186214533,FedGDA-D,FedGDA-D
tuned_sine_a2_lite,sin,Sine,1.0,0,0.09006007294607926,0.08321021932625454,-0.006849853619824722,0.2465251484080134,0.2351104219166823,-0.0114147264913311,0.9908662804095479,0.9338045771318951,-0.05706170327765281,0.09006007294607915,0.08321021932625397,-0.00684985361982518,FedOGDA-D,FedOGDA-D
tuned_sine_a2_lite,sin,Sine,1.0,1,0.08103072747004508,0.07464631151131249,-0.006384415958732598,0.2405799196158197,0.2195394986629834,-0.021040420952836314,0.8285833755727552,0.8860124580947699,0.05742908252201473,0.08103072747004482,0.07464631151131235,-0.006384415958732473,FedOGDA-D,FedOGDA-D
tuned_sine_a2_lite,sin,Sine,1.0,2,0.0872297883039324,0.08217807288456376,-0.005051715419368635,0.2482125208982925,0.23357085062070018,-0.014641670277592306,1.0231960567172493,0.9319964240584226,-0.09119963265882669,0.08722978830393281,0.08217807288456339,-0.005051715419369426,FedOGDA-D,FedOGDA-D
