source,dataset,stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,amp_ratio,pred_min,pred_max,diverged,runtime_seconds,result_dir
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm6_lam0p03_slr1p5,0,0.0075,6.0,0.03,1.5,0.0,3,500,0.04432917711395873,0.007420647662617788,0.0,0.04527879603672109,499,0.04432917711395873,0.04527879603672109,0.045278796036721324,0.1741311648603036,0.6062317211653658,0.8171483729202401,0.4436838118022202,-0.20968294759512124,0.20323260442835964,False,207.40745401382446,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm6_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1,0,0.01,6.0,0.01,1.0,0.0,3,500,0.04522871655720401,0.009412114077278082,0.0,0.046158900971247724,499,0.04522871655720401,0.046158900971247724,0.0461589009712477,0.17250405798324767,0.6614973835101419,0.794260150276389,0.44896958184396973,-0.20876628284118084,0.2090684855174479,False,206.12647104263306,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1,0,0.01,8.0,0.01,1.0,0.0,3,500,0.04564060203661161,0.00700386155299181,6.938893903907228e-18,0.04680794816727593,499,0.04564060203661162,0.04680794816727593,0.0468079481672761,0.17402708065296466,0.6761182181999041,0.7961087185503256,0.43499800103589353,-0.17796114423450407,0.2268709342613286,False,207.13149285316467,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1p5,0,0.01,12.0,0.03,1.5,0.0,3,500,0.04620646346459844,0.016352385037250568,-6.938893903907228e-18,0.047432185529359315,499,0.04620646346459843,0.047432185529359315,0.04743218552935958,0.17668194137512605,0.7149478060971994,0.797064270460007,0.48743713730216826,-0.17366040597915305,0.2799742979969068,False,208.15266585350037,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p03_slr1p5,0,0.0075,10.0,0.03,1.5,0.0,3,500,0.04663115828511687,0.00799787352109529,0.0008104935908954183,0.047739105044338835,475,0.047441651876012285,0.04867969134986268,0.04773910504433885,0.17656106499504526,0.6607455423797728,0.7817059437685054,0.4548321502723786,-0.22819969553028321,0.19509108815840448,False,200.54354548454285,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p03_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1,0,0.01,6.0,0.03,1.0,0.0,3,500,0.04748633169026982,0.006454285855036488,0.0,0.048782616424454396,499,0.04748633169026982,0.048782616424454396,0.048782616424454514,0.17811863988556423,0.7030669867974517,0.7720075709417948,0.489685776871539,-0.19471007979104474,0.2610173267456902,False,207.6877884864807,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p005_cm12_lam0p01_slr1p5,0,0.005,12.0,0.01,1.5,0.0,3,500,0.05059434896753634,0.004870712614368684,0.0003915272409187598,0.05200091219270896,492,0.0509858762084551,0.05199275343894915,0.05200091219270896,0.17985118985700013,0.740603844738194,0.730951013551084,0.6185681375950047,-0.2659746364766416,0.309697491297617,False,209.1192262172699,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p005_cm12_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p005_cm10_lam0p01_slr1p5,0,0.005,10.0,0.01,1.5,0.0,3,500,0.051531055671724925,0.005272014165795749,0.0006842136077178235,0.05290919467503166,492,0.05221526927944275,0.053177641217000304,0.052909194675031475,0.1833090828420337,0.734457278347469,0.7264110590541535,0.6204562555656696,-0.27471268242255,0.3027166275012573,False,205.0823016166687,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p005_cm10_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1,0,0.0075,12.0,0.01,1.0,0.0,3,500,0.05216415451853453,0.00427111245547188,0.0,0.053465725922704245,499,0.05216415451853453,0.053465725922704245,0.053465725922704224,0.18438260151284533,0.7275026254354553,0.7270889122574844,0.5984219366568778,-0.2800279855242281,0.2768950252882181,False,206.46555519104004,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1,0,0.0075,8.0,0.03,1.0,0.0,3,500,0.05317685027279142,0.0041578114913718035,-6.938893903907228e-18,0.05453890076843778,499,0.05317685027279141,0.05453890076843778,0.05453890076843811,0.18701272083288153,0.726258090482383,0.7200655697577544,0.6114721131548645,-0.2737578608818639,0.2953103323540331,False,199.499773979187,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1
