dataset,stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,pred_min,pred_max,diverged,runtime_seconds,result_dir
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1,0,0.003,10.0,0.1,1.0,0.0,7,600,0.022986011433128246,0.0021911748212562776,0.0005958840626807474,0.023351407938871162,564,0.023581895495808993,0.024001650193366458,0.02335140793887119,0.12919788237417623,0.4636723141759092,0.8772947997569954,-0.7035751732546408,0.7883822425435202,False,510.99434518814087,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p1_slr1,0,0.005,15.0,0.1,1.0,0.0,7,600,0.023084590777531132,0.004675501435898309,0.002562237297393563,0.023486003220190416,486,0.025646828074924695,0.025898226837303577,0.023486003220190572,0.1292448629651348,0.5032918325642288,0.8757726824851904,-0.7532485067932099,0.8280017609318397,False,512.3323304653168,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p1_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1p5,0,0.003,10.0,0.1,1.5,0.0,7,600,0.02308865508041844,0.003631458433477051,0.004486555539412691,0.023438688835621953,581,0.02757521061983113,0.02782210470290512,0.02343868883562188,0.1282152582566256,0.448098544197218,0.8765531307372858,-0.7245510779550802,0.772808472564829,False,528.9942615032196,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p1_slr1p5,0,0.005,15.0,0.1,1.5,0.0,7,600,0.0232662777856255,0.008254741869201202,0.010091435030567818,0.02373333385906099,597,0.03335771281619332,0.03347595913336679,0.023733333859060922,0.12887799229809166,0.5593653811587365,0.8760762668860226,-0.7322941461451759,0.8840753095263475,False,525.99422955513,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm15_lam0p1_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr2,0,0.003,10.0,0.1,2.0,0.0,7,600,0.023723116997552692,0.005136011437612005,0.01051553862567917,0.02401383223882143,554,0.03423865562323186,0.034363191670879506,0.024013832238821472,0.12984533508702897,0.4635330168822859,0.87340361263623,-0.7727701515889565,0.693561728917863,False,521.0002126693726,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr2
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm15_lam0p1_slr1p5,0,0.003,15.0,0.1,1.5,0.0,7,600,0.023851934895614973,0.003487982290284771,0.005789983012309426,0.02421127472696756,577,0.0296419179079244,0.029867740663540865,0.02421127472696764,0.1311999180863328,0.47158398244489325,0.8717605209824135,-0.7044880515791423,0.7962939108125042,False,529.4689383506775,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm15_lam0p1_slr1p5
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p0075_cm10_lam0p1_slr1,0,0.0075,10.0,0.1,1.0,0.0,7,600,0.023948463685620747,0.007029933674493926,0.0053314929479691756,0.02438408829295536,549,0.029279956633589923,0.029526495849838325,0.02438408829295541,0.13159981723801578,0.5121649108950022,0.8718917546956118,-0.8173120529447723,0.8368748392626131,False,518.4009130001068,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p0075_cm10_lam0p1_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm20_lam0p05_slr2,0,0.005,20.0,0.05,2.0,0.0,7,600,0.024071611979863367,0.016063972471369654,0.015145324459198726,0.02450386172860369,598,0.03921693643906209,0.03944285984093816,0.02450386172860369,0.1315693052923592,0.5045865385874984,0.8698050617629749,-0.7280015873268714,0.8292964669551094,False,517.3023846149445,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p005_cm20_lam0p05_slr2
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm15_lam0p1_slr1,0,0.003,15.0,0.1,1.0,0.0,7,600,0.024258837523684552,0.002402195865369207,0.00043819246604359305,0.0246965277166205,555,0.024697029989728145,0.025151242869402308,0.02469652771662053,0.13254904709800475,0.5222293873174801,0.8695559075064558,-0.7959762515939459,0.8469393156850912,False,516.0091683864594,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm15_lam0p1_slr1
step,screen_step_proxy,fedogda_s,v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p0075_cm10_lam0p05_slr1p5,0,0.0075,10.0,0.05,1.5,0.0,7,600,0.02459017578192196,0.012778260058617985,0.005315707673013502,0.024977044527979757,529,0.029905883454935462,0.030124552551149833,0.02497704452797971,0.13287569308005276,0.5169261367930308,0.8676242203108491,-0.8261632714997014,0.7969935897842457,False,513.3107106685638,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p0075_cm10_lam0p05_slr1p5
