family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,gda,deterministic,centralized,,500,,0,0.005,0.01,,,0,1,1,1,0,0,0.023577555557787313,0.0,0.0240733722707677,0.0,0.17815568698725046,0.0,0.18126137812021553,0.0,106.41112446784973,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,1,1,0,0,0.015301129722497654,0.0,0.015596942119116596,0.0,0.07899031620676357,0.0,0.07755469605159047,0.0,108.9588725566864,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,sgda,stochastic,centralized,,500,,256,0.001,0.03,,,0,1,1,1,0,0,0.1717303989612753,0.0,0.1784260632604047,0.0,0.1717303989612753,0.0,0.1784260632604047,0.0,75.76657891273499,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,sgda,stochastic,centralized,,500,,256,0.002,0.01,,,0,1,1,1,0,0,0.020614207327313533,0.0,0.020985866774093795,0.0,0.03121256985125555,0.0,0.03201860365258621,0.0,76.92665266990662,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,sgda,stochastic,centralized,,500,,256,0.002,0.03,,,0,1,1,1,0,0,0.025330923737568047,0.0,0.02619095663036838,0.0,0.13606097845092568,0.0,0.13382478782874746,0.0,69.22218227386475,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,sgda,stochastic,centralized,,500,,256,0.005,0.01,,,0,1,1,1,0,0,0.022069915768621634,0.0,0.022509430058715103,0.0,0.12887027649011948,0.0,0.1310250330120953,0.0,70.92970085144043,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,linear,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,1,1,0,0,0.010889469178672782,0.0,0.011146386879056738,0.0,0.10145125795078352,0.0,0.09941223116147384,0.0,64.2149977684021,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,gda,deterministic,centralized,,500,,0,0.001,0.03,,,0,1,1,1,0,0,0.12003214452834009,0.0,0.11967369173503013,0.0,0.12003214452834009,0.0,0.11967369173503013,0.0,191.06335830688477,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,gda,deterministic,centralized,,500,,0,0.002,0.01,,,0,1,1,1,0,0,0.10981624437456274,0.0,0.11017645070057991,0.0,0.1411550775828996,0.0,0.1410283753305926,0.0,137.0080041885376,0.0
centralized_lowdim_v1_tuning,c5_gda_sgda_lr_screen,tuning,sin,gda,deterministic,centralized,,500,,0,0.002,0.03,,,0,1,1,1,0,0,0.1048110575712053,0.0,0.10522408631618516,0.0,0.10865061093378663,0.0,0.10978685299510332,0.0,195.1083037853241,0.0
