family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
rerun_protocol_v1,,primary,sin,fedgda_s,stochastic,federated,1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.07679443926594547,0.002662999007277385,0.07864254116539815,0.0026356643794503624,0.07935376120010715,0.0019357701664188855,0.08162751525788355,0.001578945689589102,179.98754421869913,2.0335376422170084
rerun_protocol_v1,,primary,sin,fedogda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08366757413633281,0.00410444625335531,0.08621158805166014,0.004494457619720846,0.08517363644123012,0.0019244373314008033,0.08797243944033618,0.0018657476724100047,9579.12210059166,74.7822751450673
rerun_protocol_v1,,primary,sin,fedogda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08372549595189556,0.004229954784073609,0.08627282780969031,0.004617839752379367,0.08518206348257175,0.0021739669217000113,0.08798688153407593,0.0021442882163351215,9693.003189404806,80.11107664864397
rerun_protocol_v1,,primary,sin,fedogda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08361703112075865,0.004165844620661698,0.08615591748419386,0.004585855135568053,0.0851213766488343,0.002039726136649956,0.08793438518490188,0.002012309894028411,9672.465966542562,144.53023570479874
rerun_protocol_v1,,primary,sin,fedogda_s,stochastic,federated,0.1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08327368657901595,0.0043510051059787135,0.08560937469582412,0.005073749011955126,0.08770586291046996,0.002682339094460187,0.09096662190802296,0.002821496197490159,202.52164522806802,4.048390936911625
rerun_protocol_v1,,primary,sin,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.08360137117039597,0.004576862203778096,0.08614024481590275,0.005104143941569324,0.08589949602230679,0.002112075934075259,0.08886046248686608,0.002364789039918204,197.58531951904297,3.1981689620258678
rerun_protocol_v1,,primary,sin,fedogda_s,stochastic,federated,1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0833955164632061,0.0043778916712962366,0.08579511720413463,0.005016506817582913,0.08533871430846807,0.0025309525410783075,0.08800373689459266,0.002450835069159528,199.22105662027994,4.272808658971093
rerun_protocol_v1,,primary,step,fedgda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.029247842102550912,0.003030527944342404,0.0297879823001589,0.0031890467309893763,0.030156926654318808,0.0015272134077783054,0.03076099878638187,0.0015922330329118859,8769.697238445282,202.73779255000107
rerun_protocol_v1,,primary,step,fedgda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.02917967130830224,0.0029970400028998183,0.029725487862183073,0.003146404109398367,0.029913499341301896,0.001794512576693952,0.030514233637937663,0.0018821640783941676,8712.327308416367,88.06139480168405
rerun_protocol_v1,,primary,step,fedgda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.029129730331294932,0.003004044362465405,0.0296753667304057,0.0031549959798199754,0.029926906228822495,0.0017110109817445249,0.03053257363901632,0.0017985637981560298,8507.200358788172,74.32947817030441
rerun_protocol_v1,,primary,step,fedgda_s,stochastic,federated,0.1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.026920204843550954,0.0017886265045806687,0.027293008485152304,0.001800152981077781,0.02829961254244423,0.0016706061092173704,0.028698844635128184,0.001523698506714707,179.99582799275717,2.5435925175779945
rerun_protocol_v1,,primary,step,fedgda_s,stochastic,federated,0.5,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.025922972833077443,0.0022472644411752293,0.026267388165344286,0.0023212487842330216,0.02697229421511593,0.0029322066469920196,0.02736719509497852,0.0029121536170560068,181.36215766270956,1.2961941398452501
rerun_protocol_v1,,primary,step,fedgda_s,stochastic,federated,1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.02687958869343261,0.0019780484533587113,0.02725494751888485,0.002013736152315048,0.032862235182364904,0.005923659036627142,0.033574776774047264,0.006392035312073533,179.70602750778198,1.5715826109588462
rerun_protocol_v1,,primary,step,fedogda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.028654974755546656,0.003193053580634512,0.029188219986105168,0.00336389457305822,0.02955815958355999,0.0018707041000665427,0.030154913197966385,0.0019916668705285234,9936.05443183581,150.21068997145946
rerun_protocol_v1,,primary,step,fedogda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.02864754373278669,0.0031831378889366335,0.029178412648361324,0.0033587947816950308,0.029502096621711767,0.0019929295192709718,0.030102534062728267,0.0021317960198407324,10100.397878408432,207.8373192998096
rerun_protocol_v1,,primary,step,fedogda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.0286043250870039,0.0031746782834130446,0.029139760391266867,0.0033471562964457503,0.029517342290091758,0.0019334061576796833,0.03012440406692196,0.002070925667456745,9856.311240593592,66.95421311147086
rerun_protocol_v1,,primary,step,fedogda_s,stochastic,federated,0.1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.028664572750065554,0.003379323152380646,0.029181640457587168,0.0035544133056404498,0.03135913870268631,0.0033896696930574848,0.03213428654507615,0.0036690909951773362,195.22511744499207,1.1829045612469384
rerun_protocol_v1,,primary,step,fedogda_s,stochastic,federated,0.5,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.02923679149210066,0.0032442387529994024,0.02978609531745534,0.0033295066318410863,0.030434834496206157,0.0030340470982912074,0.031132505131911417,0.0033186431524772284,195.14146900177002,1.204940667131972
rerun_protocol_v1,,primary,step,fedogda_s,stochastic,federated,1,500,3,256,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.02878842785503545,0.0034310137233168852,0.029330601266140646,0.003604040442718173,0.030204826899717468,0.001400976281012906,0.03076024320710603,0.0014732308116029407,193.23854621251425,1.0997370963541373
step,,primary,step,fedgda_s,stochastic,federated,0.5,1500,7,256,0.003,0.03,1.5,10,0.03,1,1,1,0,0,0.014504015634802471,0.0,0.014808642437582994,0.0,0.01697595673954123,0.0,0.01731636850516782,0.0,1116.1825931072235,0.0
step,,primary,step,fedogda_s,stochastic,federated,0.5,1500,7,256,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.018184986063088653,0.0,0.018537852230435622,0.0,0.018184986063088656,0.0,0.018537852230435622,0.0,1240.6299903392792,0.0
