dataset,method,seed,g_lr,f_lr,output_dir,status,validation_status,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_test_mse,finite_history,diverged,runtime_seconds,wall_runtime_seconds,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_slope,centralized_config_valid,notes
step,gda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,473,0.03809920333915281,0.03836291758160272,0.04219264190675902,True,False,117.66667199134827,119.21512913703918,0.039292933104810066,0.0010781922750622117,2.243093102997549e-05,True,
step,sgda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.09062553651946849,0.09168451798106098,0.09168451798106098,True,False,65.12395668029785,66.56391382217407,0.11241094859843685,0.013905176023799946,-0.0009525632732967021,True,
step,sgda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,288,0.057856206815838127,0.05801314423854464,0.08453873944253415,True,False,85.48765301704407,86.93388390541077,0.07666294738153666,0.00340703514607458,0.00021786058420327655,True,
step,sgda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,351,0.04973180486883847,0.05000369577479201,0.06607260721771345,True,False,74.81494498252869,76.3487241268158,0.07508286621816507,0.0046930840832849815,-0.0003172058159513901,True,
step,sgda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,455,0.04745803556154531,0.04781567133945929,0.11887291629835597,True,False,73.01207327842712,74.52615070343018,0.07576643757380172,0.02479691438930924,0.0016661749292493017,True,
step,sgda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,463,0.03829504144146457,0.0385907852720464,0.0489508200444193,True,False,86.82198762893677,88.26752257347107,0.041108583915037356,0.0032074393417383315,0.00019286561592595254,True,
linear,gda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.1707704682595285,0.17748241080604737,0.17748241080604737,True,False,89.67877650260925,91.1270112991333,0.20748087842541665,0.02310216774304735,-0.0015832735480475783,True,
linear,gda,0,0.002,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p002_flr_0p01,completed_valid,pass,478,0.021077833696030966,0.02150043607336113,0.03469603921119169,True,False,126.24150061607361,127.69359183311462,0.027181278200111684,0.0058620257216850345,-0.00018694908567928024,True,
linear,gda,0,0.002,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p002_flr_0p03,completed_valid,pass,361,0.025824697150732972,0.02671626205404894,0.1332795520055538,True,False,124.01082563400269,125.53607082366943,0.15411367458708447,0.007104108401107342,-0.00027895923306223516,True,
linear,gda,0,0.005,0.01,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p01,completed_valid,pass,274,0.023577555557787313,0.0240733722707677,0.18126137812021553,True,False,106.41112446784973,107.93426299095154,0.08889069365949746,0.04428818919809619,0.002720225649971853,True,
linear,gda,0,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p03,completed_valid,pass,440,0.015301129722497654,0.015596942119116596,0.07755469605159047,True,False,108.9588725566864,110.50727701187134,0.05421724197270053,0.019990996882215176,0.0013563040123223428,True,
linear,sgda,0,0.001,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p001_flr_0p03,completed_valid,pass,499,0.1717303989612753,0.1784260632604047,0.1784260632604047,True,False,75.76657891273499,77.28717160224915,0.20820724787081463,0.023154818511034885,-0.0015870282550826268,True,
