alpha,dataset,method,seed,run_id,result_dir,source,method_label,round_rows,comm_round,client_num_in_total,client_num_per_round,epochs,batch_size,learning_rate,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,runtime_seconds,append_round_csv,skip_model_selection,skip_gmm_eval,auxiliary_regression,auxiliary_regression_epochs,periodic_checkpoint_interval,test_mse_used_for_selection
0.1,cifar10_z,fedgda_s,3,highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_3/highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.05743789328462923,1492,0.05615633897709356,0.08329011887915148,752.9168472290039,True,False,False,True,3,200,False
0.1,cifar10_z,fedgda_s,4,highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_4/highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.03912320970305307,548,0.03923899518954431,0.2001021755992665,749.7323467731476,True,False,False,True,3,200,False
0.1,cifar10_z,fedogda_s,0,highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_0/highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.0472871923975699,1481,0.048330046784361196,0.17581720996500586,774.2266237735748,True,False,False,True,3,200,False
0.1,cifar10_z,fedogda_s,1,highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_1/highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.10752120403355767,1488,0.10909208972186932,0.14895937310531243,761.9033827781677,True,False,False,True,3,200,False
0.1,cifar10_z,fedogda_s,2,highdim_abs_cifar10_z_fedogda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_2/highdim_abs_cifar10_z_fedogda_s_seed2_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.0955224611944589,1473,0.09678861134105643,0.09728743120365703,763.2527160644531,True,False,False,True,3,200,False
0.1,cifar10_z,fedogda_s,3,highdim_abs_cifar10_z_fedogda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_3/highdim_abs_cifar10_z_fedogda_s_seed3_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.07054109313352375,1492,0.07139072308537739,0.11619630097667384,771.9844965934753,True,False,False,True,3,200,False
0.1,cifar10_z,fedogda_s,4,highdim_abs_cifar10_z_fedogda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_4/highdim_abs_cifar10_z_fedogda_s_seed4_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.06879843492909277,1389,0.06980732352924333,0.07192776917235062,786.1592493057251,True,False,False,True,3,200,False
0.1,femnist_x,fedgda_s,0,highdim_abs_femnist_x_fedgda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_0/highdim_abs_femnist_x_fedgda_s_seed0_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.13319621249746966,12,0.13347967255766569,0.7471519515671693,623.5336606502533,True,False,False,True,3,200,False
0.1,femnist_x,fedgda_s,1,highdim_abs_femnist_x_fedgda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_1/highdim_abs_femnist_x_fedgda_s_seed1_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.1466395378186138,14,0.14924187654129037,0.8813690377022729,619.6423015594482,True,False,False,True,3,200,False
0.1,femnist_x,fedgda_s,2,highdim_abs_femnist_x_fedgda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_2/highdim_abs_femnist_x_fedgda_s_seed2_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.17437327666509245,11,0.17685514999706478,1.245383981858064,614.3497493267059,True,False,False,True,3,200,False
