run_id,dataset,dataset_label,variant,method,method_family,mode,seed,partition_alpha,client_num_in_total,client_num_per_round,batch_size,comm_rounds,local_epochs,g_lr,f_lr,critic_multiplier,server_lr,weight_decay,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_validation_mse,final_test_mse,diverged,finite_history,history_round_count,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_mse_min,last50_validation_mse_max,last50_validation_mse_range,last50_validation_mse_cv,stable_validation_cv_le_0p05,stable_validation_range_le_1e_4,mse_by_round_columns,per_round_test_mse_column,has_per_round_test_mse,predictions_npz_exists,periodic_checkpoint_rounds,tail_start_round,last50_available_checkpoint_rounds_upper_bound,last50_available_checkpoint_count_upper_bound,last50_has_full_round_checkpoints,result_dir
rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p1,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,1,0.1,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,486,0.07080392683672448,0.07252873976572619,0.07202875779840277,0.07427679011235436,False,True,500,0.07592547100369665,0.0039638847670690905,0.07080392683672448,0.08749701696616309,0.016693090129438606,0.052207575595758865,False,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,486|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p1
rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p1,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,1,0.1,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,25,0.07867262636737331,0.08011050574834426,0.08489368772199031,0.08786917987176532,False,True,500,0.08711784955367749,0.0009072239881239407,0.0848936877219903,0.08840170236427278,0.003508014642282481,0.010413755536572979,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p1
rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p1,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,2,0.1,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,485,0.07828553848043666,0.08011009984218251,0.08080058846985269,0.08260777252388152,False,True,500,0.08247874472160246,0.0034568363233218958,0.07828553848043666,0.08832124912475742,0.010035710644320753,0.041911844499938136,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,485|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p1
rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p1,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,2,0.1,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,420,0.08382666722090722,0.08660816378567072,0.0879878081428872,0.09164056843151362,False,True,500,0.08620964022722598,0.0009305403745012499,0.08487586187490069,0.0879878081428872,0.0031119462679865123,0.01079392480990049,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p1
rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p5,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,0,0.5,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,487,0.0792361134606482,0.08084465012555463,0.0796690112491075,0.0816933093903071,False,True,500,0.08074646936862682,0.0013432783185414047,0.0792361134606482,0.08339024702828474,0.004154133567636539,0.016635752981458793,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,487|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha0p5
rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p5,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,0,0.5,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,429,0.08778774919932615,0.09058282447044726,0.08780325081729268,0.09061746668689433,False,True,500,0.08842088542424328,0.0002839971946239374,0.08780325081729269,0.08876591464066405,0.0009626638233713597,0.0032118791082143008,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha0p5
rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p5,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,1,0.5,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,486,0.06962375389340376,0.07087975474326494,0.07699764720247765,0.0797272999799262,False,True,500,0.07592358662441212,0.005256370521816938,0.06962375389340376,0.09251880045903237,0.022895046565628602,0.06923237896834064,False,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,486|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha0p5
rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p5,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,1,0.5,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,110,0.0787147350235261,0.08056486794652362,0.08362752279051769,0.0861717312897127,False,True,500,0.08351123094307272,0.00019292901133332723,0.08319782459740444,0.08393618842029692,0.0007383638228924821,0.0023102163523950636,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha0p5
rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p5,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,2,0.5,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,328,0.08005340943999527,0.08237799902299964,0.08149364176445384,0.0834791484525208,False,True,500,0.08132048496302384,0.0006944345759277761,0.08027430524285134,0.08257891849607021,0.0023046132532188734,0.008539479028482592,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha0p5
rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p5,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,2,0.5,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,428,0.08430162928833569,0.08727304203073737,0.08626771445910998,0.08979218948399119,False,True,500,0.0850836310546039,0.0006178319580303596,0.08435068351113516,0.08626771445911,0.0019170309479748376,0.007261466751858007,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha0p5
rerun_protocol_v1_sin_fedgda_s_seed0_alpha1p0,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,0,1.0,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,496,0.07785834910472307,0.07978549290839898,0.0795006670453152,0.08108717190987186,False,True,500,0.07897851353395519,0.0006915059866235945,0.07785834910472307,0.08047883512293955,0.002620486018216475,0.008755621696099607,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,496|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_0/rerun_protocol_v1_sin_fedgda_s_seed0_alpha1p0
rerun_protocol_v1_sin_fedogda_s_seed0_alpha1p0,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,0,1.0,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,337,0.08766009975474562,0.09043478549269746,0.08824683995463622,0.09083144180882212,False,True,500,0.08820884099035836,6.053511241804236e-05,0.08809739820448186,0.08840741813952922,0.0003100199350473676,0.0006862703527037514,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_0/rerun_protocol_v1_sin_fedogda_s_seed0_alpha1p0
rerun_protocol_v1_sin_fedgda_s_seed1_alpha1p0,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,1,1.0,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,440,0.0737639576598922,0.0756283265223583,0.0773487233993059,0.08038967788338648,False,True,500,0.08061883284023086,0.005371661018056886,0.07386327050969295,0.09656370230358226,0.02270043179388931,0.0666303496194538,False,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_s/seed_1/rerun_protocol_v1_sin_fedgda_s_seed1_alpha1p0
rerun_protocol_v1_sin_fedogda_s_seed1_alpha1p0,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,1,1.0,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,110,0.07891249461221363,0.08047187678032089,0.08413530001373602,0.08668815052905639,False,True,500,0.08470904642931315,0.00024211538522992036,0.08413530001373601,0.08507346276199007,0.0009381627482540622,0.002858199866905095,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_s/seed_1/rerun_protocol_v1_sin_fedogda_s_seed1_alpha1p0
rerun_protocol_v1_sin_fedgda_s_seed2_alpha1p0,sin,sine,fedgda_s,fedgda_s,FedGDA,stochastic,2,1.0,1000,10,256,500,3,0.003,0.03,10.0,1.5,0.03,463,0.07876101103322113,0.08051380406543718,0.08121189315570035,0.0834056959803923,False,True,500,0.08020745806240141,0.0007233968624194713,0.07876101103322113,0.08149122724754682,0.0027302162143256897,0.009019072289470494,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,463|499,2,False,results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha1p0
rerun_protocol_v1_sin_fedogda_s_seed2_alpha1p0,sin,sine,fedogda_s,fedogda_s,FedOGDA,stochastic,2,1.0,1000,10,256,500,3,0.001,0.01,10.0,1.5,0.1,498,0.08361395502265909,0.08647868933938554,0.08363400295703197,0.08649161834589947,False,True,500,0.08372523897454133,6.848795690392524e-05,0.08361395502265909,0.08390484382204262,0.0002908887993835346,0.0008180084971122106,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,498|499,2,False,results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha1p0
